Tick ,Customer ID,State
551,2,Null Transaction
551,1,Null Transaction
556,4,Buy
556,3,Null Transaction
556,2,Null Transaction
556,1,Null Transaction
558,4,Buy
558,3,Null Transaction
558,2,Null Transaction
558,1,Buy
554,4,Null Transaction
554,3,Null Transaction
554,2,Buy
554,1,Null Transaction
558,4,Null Transaction
558,3,Null Transaction
558,2,Null Transaction
558,1,Null Transaction
559,4,Null Transaction
559,3,Null Transaction
559,2,Null Transaction
559,1,Buy
556,4,Null Transaction
556,3,Null Transaction
556,2,Null Transaction
556,1,Null Transaction
557,4,Buy
557,3,Null Transaction
557,2,Null Transaction
557,1,Null Transaction
565,4,Null Transaction
565,3,Null Transaction
565,2,Null Transaction
565,1,Null Transaction
559,4,Buy
559,3,Null Transaction
559,2,Null Transaction
559,1,Buy
562,4,Null Transaction
562,3,Buy
562,2,Buy
562,1,Null Transaction
564,4,Null Transaction
564,3,Null Transaction
564,2,Null Transaction
564,1,Null Transaction
566,4,Null Transaction
566,3,Buy
566,2,Buy
566,1,Null Transaction
563,4,Null Transaction
563,3,Null Transaction
563,2,Null Transaction
563,1,Null Transaction
566,4,Null Transaction
566,3,Null Transaction
566,2,Null Transaction
566,1,Buy
572,4,Buy
572,3,Null Transaction
572,2,Buy
572,1,Buy
567,4,Null Transaction
567,3,Null Transaction
567,2,Null Transaction
567,1,Null Transaction
576,4,Null Transaction
576,3,Buy
576,2,Null Transaction
576,1,Buy
575,4,Null Transaction
575,3,Buy
575,2,Null Transaction
575,1,Null Transaction
573,4,Buy
573,3,Null Transaction
573,2,Null Transaction
573,1,Null Transaction
578,4,Null Transaction
578,3,Buy
578,2,Null Transaction
578,1,Null Transaction
571,4,Null Transaction
571,3,Null Transaction
571,2,Null Transaction
571,1,Null Transaction
580,4,Buy
580,3,Buy
580,2,Buy
580,1,Null Transaction
579,4,Null Transaction
579,3,Buy
579,2,Null Transaction
579,1,Null Transaction
580,4,Null Transaction
580,3,Null Transaction
580,2,Null Transaction
580,1,Null Transaction
575,4,Null Transaction
575,3,Null Transaction
575,2,Null Transaction
575,1,Null Transaction
581,4,Null Transaction
581,3,Null Transaction
581,2,Null Transaction
581,1,Null Transaction
581,4,Buy
581,3,Null Transaction
581,2,Null Transaction
581,1,Null Transaction
583,4,Null Transaction
583,3,Null Transaction
583,2,Null Transaction
583,1,Null Transaction
582,4,Null Transaction
582,3,Null Transaction
582,2,Null Transaction
582,1,Buy
585,4,Null Transaction
585,3,Null Transaction
585,2,Null Transaction
585,1,Null Transaction
590,4,Null Transaction
590,3,Buy
590,2,Buy
590,1,Buy
588,4,Null Transaction
588,3,Null Transaction
588,2,Null Transaction
588,1,Null Transaction
589,4,Null Transaction
589,3,Null Transaction
589,2,Null Transaction
589,1,Null Transaction
593,4,Null Transaction
593,3,Buy
593,2,Null Transaction
593,1,Null Transaction
590,4,Buy
590,3,Buy
590,2,Null Transaction
590,1,Null Transaction
593,4,Null Transaction
593,3,Null Transaction
593,2,Buy
593,1,Null Transaction
593,4,Null Transaction
593,3,Null Transaction
593,2,Buy
593,1,Null Transaction
595,4,Null Transaction
595,3,Null Transaction
595,2,Null Transaction
595,1,Null Transaction
589,4,Buy
589,3,Null Transaction
589,2,Buy
589,1,Buy
594,4,Buy
594,3,Null Transaction
594,2,Null Transaction
594,1,Null Transaction
594,4,Null Transaction
594,3,Null Transaction
594,2,Buy
594,1,Null Transaction
594,4,Null Transaction
594,3,Null Transaction
594,2,Null Transaction
594,1,Null Transaction
602,4,Null Transaction
602,3,Buy
602,2,Null Transaction
602,1,Null Transaction
598,4,Null Transaction
598,3,Null Transaction
598,2,Null Transaction
598,1,Null Transaction
596,4,Buy
596,3,Null Transaction
596,2,Null Transaction
596,1,Buy
598,4,Null Transaction
598,3,Null Transaction
598,2,Buy
598,1,Buy
597,4,Buy
597,3,Buy
597,2,Null Transaction
597,1,Buy
603,4,Null Transaction
603,3,Null Transaction
603,2,Null Transaction
603,1,Buy
605,4,Null Transaction
605,3,Null Transaction
605,2,Null Transaction
605,1,Null Transaction
605,4,Null Transaction
605,3,Buy
605,2,Buy
605,1,Null Transaction
601,4,Null Transaction
601,3,Null Transaction
601,2,Null Transaction
601,1,Null Transaction
606,4,Null Transaction
606,3,Null Transaction
606,2,Null Transaction
606,1,Null Transaction
607,4,Null Transaction
607,3,Null Transaction
607,2,Buy
607,1,Null Transaction
